modelname,train_sampler,corrupt_sampler,evaluation_sampler,truth_share,Ridge_train_acc,Ridge_test_acc,LogisticRegression_train_acc,LogisticRegression_test_acc,MLPClassifier_train_acc,MLPClassifier_test_acc,config,modeltype
TransE_01,Positional,Positional,Bernoulli,100,0.5504317111,0.5424967178,0.8149529042,0.6808607797,1,0.7907985616,"train:Pos, corrupt:Pos",TransE
TransE_01,Positional,Positional,Positional,100,0.5675900956,0.5546932953,0.8390291738,0.6884450785,1,0.7745506419,"train:Pos, corrupt:Pos",TransE
TransE_02,Positional,Positional,Bernoulli,80,0.5505788854,0.5486614533,0.8132358713,0.6828586107,1,0.7866887379,"train:Pos, corrupt:Pos",TransE
TransE_02,Positional,Positional,Positional,80,0.5718068154,0.5567475036,0.8419710713,0.6826248217,1,0.7654778887,"train:Pos, corrupt:Pos",TransE
TransE_03,Positional,Positional,Bernoulli,50,0.5482240973,0.5452366003,0.815983124,0.688566699,1,0.7842342599,"train:Pos, corrupt:Pos",TransE
TransE_03,Positional,Positional,Positional,50,0.5695513606,0.552296719,0.8388330473,0.6894151213,1,0.7708416548,"train:Pos, corrupt:Pos",TransE
DistMult_01,Positional,Positional,Bernoulli,100,0.5667189953,0.5615046521,0.8457613815,0.7305211485,0.9999018838,0.8533021291,"train:Pos, corrupt:Pos",DistMult
DistMult_01,Positional,Positional,Positional,100,0.5876440304,0.5704992867,0.8603579309,0.7258773181,1,0.8136376605,"train:Pos, corrupt:Pos",DistMult
DistMult_02,Positional,Positional,Bernoulli,80,0.568288854,0.5608767624,0.8475274725,0.7260117587,1,0.8477082025,"train:Pos, corrupt:Pos",DistMult
DistMult_02,Positional,Positional,Positional,80,0.5902917382,0.5698145506,0.8582986026,0.7266761769,0.999215494,0.8194008559,"train:Pos, corrupt:Pos",DistMult
DistMult_03,Positional,Positional,Bernoulli,50,0.568288854,0.5614475712,0.8458104396,0.7252126263,0.9999509419,0.8432558936,"train:Pos, corrupt:Pos",DistMult
DistMult_03,Positional,Positional,Positional,50,0.5900956117,0.5666761769,0.8606521206,0.7215406562,0.9995587154,0.8067332382,"train:Pos, corrupt:Pos",DistMult
TransE_06,Bernoulli,Positional,Bernoulli,50,0.5646094976,0.5499743136,0.8552295918,0.7477024944,1,0.9148924025,"train:Ber, corrupt:Ber",TransE
TransE_06,Bernoulli,Positional,Positional,50,0.5835253739,0.5563480742,0.8688894337,0.727874465,1,0.8914693295,"train:Ber, corrupt:Ber",TransE
DistMult_06,Bernoulli,Positional,Bernoulli,50,0.5848704867,0.5698384611,0.8945741758,0.7882870027,0.9996565934,0.927906844,"train:Ber, corrupt:Ber",DistMult
DistMult_06,Bernoulli,Positional,Positional,50,0.5986271145,0.5770613409,0.8965432704,0.7693580599,1,0.902596291,"train:Ber, corrupt:Ber",DistMult
TransE_05,Bernoulli,Positional,Bernoulli,80,0.5632358713,0.5518009019,0.8548861852,0.7397111707,1,0.9111821451,"train:Ber, corrupt:Ber",TransE
TransE_05,Bernoulli,Positional,Positional,80,0.5840647217,0.5624536377,0.8677126747,0.725021398,1,0.8907275321,"train:Ber, corrupt:Ber",TransE
DistMult_05,Bernoulli,Positional,Bernoulli,80,0.5860969388,0.5668702552,0.8947213501,0.7895427821,1,0.9224270792,"train:Ber, corrupt:Ber",DistMult
DistMult_05,Bernoulli,Positional,Positional,80,0.6002451581,0.575235378,0.8942878156,0.7682168331,1,0.9009415121,"train:Ber, corrupt:Ber",DistMult
TransE_04,Bernoulli,Positional,Bernoulli,100,0.5610282575,0.5499743136,0.8550824176,0.7495290827,1,0.914664079,"train:Ber, corrupt:Ber",TransE
TransE_04,Bernoulli,Positional,Positional,100,0.5826428046,0.5618259629,0.8683010542,0.727360913,1,0.89021398,"train:Ber, corrupt:Ber",TransE
DistMult_04,Bernoulli,Positional,Bernoulli,100,0.583938383,0.5691534905,0.8954572214,0.7888578115,1,0.9271647925,"train:Ber, corrupt:Ber",DistMult
DistMult_04,Bernoulli,Positional,Positional,100,0.6000490316,0.5757489301,0.8951213533,0.7661626248,1,0.9044222539,"train:Ber, corrupt:Ber",DistMult
TransE_09,Uniform,Positional,Bernoulli,50,0.5611754317,0.5549403505,0.8527766876,0.7511273475,1,0.9185455791,"train:Pos, corrupt:Pos",TransE
TransE_09,Uniform,Positional,Positional,50,0.5836724687,0.5664479315,0.8703603824,0.724850214,1,0.9043651926,"train:Pos, corrupt:Pos",TransE
TransE_08,Uniform,Positional,Bernoulli,80,0.5611754317,0.5549403505,0.8527766876,0.7511273475,1,0.9200867629,"train:Pos, corrupt:Pos",TransE
TransE_08,Uniform,Positional,Positional,80,0.5836724687,0.5664479315,0.8703603824,0.724850214,1,0.905278174,"train:Pos, corrupt:Pos",TransE
TransE_07,Uniform,Positional,Bernoulli,100,0.5611754317,0.5549403505,0.8527766876,0.7511273475,1,0.9226554027,"train:Pos, corrupt:Pos",TransE
TransE_07,Uniform,Positional,Positional,100,0.5836724687,0.5664479315,0.8703603824,0.724850214,1,0.9057346648,"train:Pos, corrupt:Pos",TransE
DistMult_09,Uniform,Positional,Bernoulli,50,0.5806514914,0.5621325418,0.8787774725,0.769507392,1,0.9301329985,"train:Pos, corrupt:Pos",DistMult
DistMult_09,Uniform,Positional,Positional,50,0.5951949007,0.567703281,0.8875214513,0.757318117,1,0.9040798859,"train:Pos, corrupt:Pos",DistMult
DistMult_08,Uniform,Positional,Bernoulli,80,0.5806514914,0.5621325418,0.8787774725,0.769507392,1,0.9264798219,"train:Pos, corrupt:Pos",DistMult
DistMult_08,Uniform,Positional,Positional,80,0.5951949007,0.567703281,0.8875214513,0.757318117,1,0.9083024251,"train:Pos, corrupt:Pos",DistMult
DistMult_07,Uniform,Positional,Bernoulli,100,0.5806514914,0.5621325418,0.8787774725,0.769507392,0.9999018838,0.9301900793,"train:Pos, corrupt:Pos",DistMult
DistMult_07,Uniform,Positional,Positional,100,0.5951949007,0.567703281,0.8875214513,0.757318117,1,0.9150356633,"train:Pos, corrupt:Pos",DistMult