modelname,train_sampler,corrupt_sampler,truth_share,lp_mrr,lp_filt_mrr,lp_mr,lp_filt_mr,lp_hit_k10,lp_filt_hit_k10,config,modeltype
TransE_01,Positional,Positional,100,0.005131834187,0.005132603925,7240.15625,7229.207031,0.005203752546,0.005203752546,"train:Pos, corrupt:Pos",TransE
TransE_02,Positional,Positional,80,0.005072475411,0.005073496606,7230.615234,7219.666992,0.005228183465,0.005228183465,"train:Pos, corrupt:Pos",TransE
TransE_03,Positional,Positional,50,0.005184506066,0.005185537506,7207.742188,7196.793945,0.005301475758,0.005301475758,"train:Pos, corrupt:Pos",TransE
DistMult_01,Positional,Positional,100,0.0007372865221,0.0007383444463,7288.413086,7277.463867,0.0007573536423,0.0007573536423,"train:Pos, corrupt:Pos",DistMult
DistMult_02,Positional,Positional,80,0.0007347913925,0.0007354756817,7251.455566,7240.506836,0.0009283690015,0.0009283690015,"train:Pos, corrupt:Pos",DistMult
DistMult_03,Positional,Positional,50,0.0007460197085,0.0007466310635,7259.411133,7248.462891,0.0005619075673,0.0005619075673,"train:Pos, corrupt:Pos",DistMult
TransE_06,Bernoulli,Positional,50,0.005130591802,0.005131604616,7181.496582,7170.547852,0.005228183465,0.005228183465,"train:Ber, corrupt:Ber",TransE
DistMult_06,Bernoulli,Positional,50,0.0008629238582,0.0008635313716,7248.523438,7237.574219,0.0008306459349,0.0008306459349,"train:Ber, corrupt:Ber",DistMult
TransE_05,Bernoulli,Positional,80,0.005072346888,0.005073272157,7198.841797,7187.892578,0.005008306587,0.005008306587,"train:Ber, corrupt:Ber",TransE
DistMult_05,Bernoulli,Positional,80,0.001007607207,0.001008395804,7246.116211,7235.167969,0.001148245879,0.001148245879,"train:Ber, corrupt:Ber",DistMult
TransE_04,Bernoulli,Positional,100,0.005152589642,0.005153900012,7239.439941,7228.491211,0.005350337364,0.005350337364,"train:Ber, corrupt:Ber",TransE
DistMult_04,Bernoulli,Positional,100,0.00100514479,0.001005875762,7252.49707,7241.548828,0.001026092039,0.001026092039,"train:Ber, corrupt:Ber",DistMult
TransE_09,Uniform,Positional,50,0.005167193245,0.005168510601,7225.599609,7214.650391,0.005399198737,0.005399198737,"train:Pos, corrupt:Pos",TransE
TransE_08,Uniform,Positional,80,0.005167193245,0.005168510601,7225.599609,7214.650391,0.005399198737,0.005399198737,"train:Pos, corrupt:Pos",TransE
TransE_07,Uniform,Positional,100,0.005167193245,0.005168510601,7225.599609,7214.650391,0.005399198737,0.005399198737,"train:Pos, corrupt:Pos",TransE
DistMult_09,Uniform,Positional,50,0.0009017031989,0.0009024384199,7248.487305,7237.539063,0.0008795074828,0.0008795074828,"train:Pos, corrupt:Pos",DistMult
DistMult_08,Uniform,Positional,80,0.0009017031989,0.0009024384199,7248.487305,7237.539063,0.0008795074828,0.0008795074828,"train:Pos, corrupt:Pos",DistMult
DistMult_07,Uniform,Positional,100,0.0009017031989,0.0009024384199,7248.487305,7237.539063,0.0008795074828,0.0008795074828,"train:Pos, corrupt:Pos",DistMult